FID,FireName,FireNo,Label,StartDate,EndDate,area_ha
5730,Winters Run,00/01-30,2000-01 Wildfire,25/12/2000,8/01/2001,502.3726883
5731,Lismore St/ Old Maitland Rd,00/01-31,2000-01 Wildfire,2/01/2001,3/01/2001,21.11440506
5732,Tingara Heights,00/01-32,2000-01 Wildfire,4/01/2001,6/01/2001,15.47870954
5733,Abermain 4,00/01-33,2000-01 Wildfire,4/01/2001,5/01/2001,39.38327572
5734,Horses Head Creek,00/01-56,2000-01 Wildfire,24/01/2001,27/01/2001,2.01561699
5735,Turnbulls Creek,00/01-34,2000-01 Wildfire,5/01/2001,8/01/2001,0.73289647
5736,Woy Woy Road,00/01-35,2000-01 Wildfire,6/01/2001,7/01/2001,0.30698009
5737,Wilfred Barrett,00/01-36,2000-01 Wildfire,5/01/2001,9/01/2001,97.28124541
5738,Wilfred Barrett,00/01-36,2000-01 Wildfire,5/01/2001,9/01/2001,12.23968941
5739,Wondabyne Tunnel,00/01-37,2000-01 Wildfire,6/01/2001,7/01/2001,2.99121632
5740,Frying Pan Rock,00/01-38,2000-01 Wildfire,6/01/2001,8/01/2001,4.15769277
5741,Sheep Trig,00/01-39,2000-01 Wildfire,6/01/2001,8/01/2001,6.05515545
5742,Morisset Fire,00/01-40,2000-01 Wildfire,6/01/2001,9/01/2001,51.2557722
5743,Toukley Wetland,00/01-42,2000-01 Wildfire,7/01/2001,8/01/2001,103.2696283
5744,Swampy Arm,00/01-44,2000-01 Wildfire,10/01/2001,11/01/2001,40.30845792
5745,Settlers,00/01-46,2000-01 Wildfire,15/01/2001,22/01/2001,7.90767522
5746,Apple Tree Flat,00/01-47,2000-01 Wildfire,16/01/2001,20/01/2001,8.14238829
5747,Martindale Track,00/01-48,2000-01 Wildfire,16/01/2001,20/01/2001,4.45234773
5748,Hungerford Creek,00/01-49,2000-01 Wildfire,16/01/2001,20/01/2001,2.79945673
5749,Sheep Trig 2,00/01-50,2000-01 Wildfire,16/01/2001,20/01/2001,1.14816755
5750,Hunter Main Trail,00/01-51,2000-01 Wildfire,16/01/2001,20/01/2001,2.32306482
5751,Partridge Creek,00/01-52,2000-01 Wildfire,21/01/2001,22/01/2001,3.96418182
5752,Old Abermain Tip,00/01-53,2000-01 Wildfire,22/01/2001,22/01/2001,23.97580113
5753,Heaton Road Fire,00/01-54,2000-01 Wildfire,23/01/2001,27/01/2001,0.81523173
5754,Lismore St Abermain,00/01-57,2000-01 Wildfire,24/01/2001,24/01/2001,0.22272204
5755,Sheep West,00/01-58,2000-01 Wildfire,26/01/2001,31/01/2001,7.04379673
5756,Ocean St Awabakal Nature Reser,HUN0031,2000-01 Wildfire,16/01/2001,1/01/1970,8.87122591
5757, , ,2000-01 Wildfire,,,11.47083966
5758, , ,2000-01 Wildfire,,,0.96728845
5759, , ,2000-01 Wildfire,,,0.22483349
5760, , ,2000-01 Wildfire,,,3.67762712
5761, , ,2000-01 Wildfire,,,0.0370731
5762, , ,2000-01 Wildfire,,,0.08238568
5763, , ,2000-01 Wildfire,,,0.14868357
5764, , ,2000-01 Wildfire,,,0.21542991
5765, , ,2000-01 Wildfire,,,0.33521242
5766, , ,2000-01 Wildfire,,,1.07200654
5767, , ,2000-01 Wildfire,,,0.00092924
5768, , ,2000-01 Wildfire,,,0.00039194
5769, , ,2000-01 Wildfire,,,18.44237678
5770,Bantry Bay, ,2000-01 Wildfire,7/10/2000,1/01/1970,464.3535256
5771, , ,2000-01 Wildfire,,,0.00390769
5772,Manor Road, ,2000-01 Wildfire,6/10/2000,1/01/1970,4.01899628
5773, , ,2000-01 Wildfire,,,0.32545371
5774,Manor Road, ,2000-01 Wildfire,6/10/2000,1/01/1970,22.49635127
5775, , ,2000-01 Wildfire,,,0.32445406
5776, , ,2000-01 Wildfire,,,0.09793712
5777, , ,2000-01 Wildfire,,,0.13152095
5778, , ,2000-01 Wildfire,,,1.62816927
5779, , ,2000-01 Wildfire,,,0.25181832
5780, , ,2000-01 Wildfire,,,0.13787709
5781,East Nattai Wall,smt/00/041,2000-01 Wildfire,24/10/2001,1/01/1970,6.16691431
5782,Long Nose Road,smt/00/040,2000-01 Wildfire,24/10/2001,1/01/1970,3.37270921
5783,Tallygong,smt/00/038,2000-01 Wildfire,4/01/2001,1/01/1970,5.34787761
5784,Helensburg Tip,smt/00/037,2000-01 Wildfire,15/01/2001,1/01/1970,14.18605817
5785,Mt Kembla West 3,smt/00/023,2000-01 Wildfire,6/10/2000,1/01/1970,20.31572629
5786,Blue Gum Thirlme,smt/00/021,2000-01 Wildfire,5/10/2000,1/01/1970,2.67333409
5787,Cordeaux  Illawa,smt/00/015,2000-01 Wildfire,1/10/2000,1/01/1970,2.29247151
5788,Mt Kembla West 2,smt/00/014,2000-01 Wildfire,21/09/2000,1/01/1970,6.54423687
5789,Harris Crk Holsw,smt/00/011,2000-01 Wildfire,19/09/2000,1/01/1970,624.3276501
5790,Mt Kembla West 1,smt/00/004,2000-01 Wildfire,31/08/2000,1/01/1970,13.43275833
5791,Tabbagai fire,smt/00/018,2000-01 Wildfire,3/10/2000,1/01/1970,305.0849115
5792,Tabbigai Gap,smt/00/026,2000-01 Wildfire,31/10/2000,1/01/1970,0.11184269
5793,Yena Gap,smt/00/002,2000-01 Wildfire,20/08/2000,1/01/1970,0.13765285
5794,Duckhole, ,2000-01 Wildfire,18/12/2000,1/01/1970,8.70987723
5795,Bedford Creek,00/002,2000-01 Wildfire,3/09/2000,1/01/1970,9.58492082
5796,Burnt Hole,BMS 00-024,2000-01 Wildfire,14/12/2000,1/01/1970,12.4122976
5797,Oaks,00-022,2000-01 Wildfire,12/12/2000,1/01/1970,1.98757695
5798,Oaks,00-023,2000-01 Wildfire,12/12/2000,1/01/1970,0.35035853
5799,Oaks,00-023,2000-01 Wildfire,12/12/2000,1/01/1970,1.85189206
5800,Danes Lane,BMS-00/014,2000-01 Wildfire,21/09/2000,1/01/1970,2.24512627
5801,Erskine Range,00/005,2000-01 Wildfire,13/09/2000,1/01/1970,0.50608598
5802,Burralow Creek,00/001,2000-01 Wildfire,20/08/2000,1/01/1970,1.81399878
5803,Mount Koorain,00/004,2000-01 Wildfire,11/09/2000,1/01/1970,1.13176822
5804,Mt Irvine,BMS 00-028,2000-01 Wildfire,18/12/2000,1/01/1970,3.5134474
5805,Mt Riverview, ,2000-01 Wildfire,18/08/2000,1/01/1970,33.52975652
5806,Applegum,00/02,2000-01 Wildfire,5/09/2000,1/01/1970,3.45070225
5807,Gleniston, ,2000-01 Wildfire,16/01/2000,1/01/1970,9.50887038
5808,Mount Mistake Fire,BMS00-033,2000-01 Wildfire,1/01/1970,1/01/1970,11.48403358
5809,Bylong River Fire, ,2000-01 Wildfire,1/01/1970,1/01/1970,96.51752749
5810,Cockatoo Hill Fire,BMS00-034,2000-01 Wildfire,5/01/2001,1/01/1970,0.57673501
5811,Sunnyside Ridge,00/48,2000-01 Wildfire,26/01/2001,1/01/1970,0.42497234
5812,Tomcat Creek, ,2000-01 Wildfire,1/01/1970,1/01/1970,4.75101705
5813,Greens Control, ,2000-01 Wildfire,1/01/1970,1/01/1970,0.70773886
5814,Jellybean, ,2000-01 Wildfire,14/01/2001,1/01/1970,0.31276517
5815,Nepean Gorge Lookout Fire,BMS-00/011,2000-01 Wildfire,20/09/2000,1/01/1970,0.8713876
5816,Dilwinia,SYD-011,2000-01 Wildfire,2/01/2001,2/01/2001,0.49724403
5817, ,SYD-004,2000-01 Wildfire,14/09/2000,14/09/2000,0.33735532
5818, ,SYD-003,2000-01 Wildfire,10/09/2000,10/09/2000,10.50804152
5819, ,SYD-002,2000-01 Wildfire,27/08/2000,27/08/2000,1.99998211
5820, , ,2000-01 Wildfire,12/01/2001,12/01/2001,18.06724135
5821, , ,2000-01 Wildfire,1/11/2000,1/11/2000,17.16752359
5822, , ,2000-01 Wildfire,1/01/2001,1/01/2001,8.54632341
5823, , ,2000-01 Wildfire,1/01/2001,1/01/2001,11.48693523
5824, , ,2000-01 Wildfire,31/08/2000,31/08/2000,7.33950253
5825, , ,2000-01 Wildfire,5/10/2000,5/10/2000,1.90132687
5826, , ,2000-01 Wildfire,1/10/2000,1/10/2000,7.02167327
5827,Upper Cordeaux, ,2000-01 Wildfire,1/01/1970,8/07/2000,0.02161875
5828,Upper Cordeaux, ,2000-01 Wildfire,1/01/1970,19/08/2000,0.03248897
5829, , ,2000-01 Wildfire,20/09/2000,20/09/2000,2.56820759
5830, , ,2000-01 Wildfire,20/09/2000,20/09/2000,0.56857194
5831, , ,2000-01 Wildfire,26/12/2000,26/12/2000,2.56817901
5832,Upper Cordeaux No 2 Dam, ,2000-01 Wildfire,1/10/2000,1/10/2000,7.79503216
5833,Upper Cordeaux, ,2000-01 Wildfire,27/12/2000,27/12/2000,3.13667376
5834, , ,2000-01 Wildfire,3/10/2000,3/10/2000,3.13680701
5835,Cataract off Clive Bissel, ,2000-01 Wildfire,31/03/2001,1/04/2001,0.03685443
5836, , ,2000-01 Wildfire,11/09/2000,11/09/2000,3.09998827
5837,Cataract, ,2000-01 Wildfire,1/01/1970,13/01/2001,0.01952867
5838,Broughtons Pass, ,2000-01 Wildfire,8/09/2000,8/09/2000,0.05888468
5839,Broughtons Pass, ,2000-01 Wildfire,1/01/1970,1/01/1970,0.02943579
5840,O'Hares, ,2000-01 Wildfire,25/08/2000,1/01/1970,0.07527307
5841, , ,2000-01 Wildfire,24/01/2001,24/01/2001,3.13545493
5842,Nattai Tableland, ,2000-01 Wildfire,24/01/2001,26/01/2000,0.74206418
5843,Braughton's Pass, ,2000-01 Wildfire,1/01/1970,19/08/2000,0.03534337
5844,Princess Hwy, ,2000-01 Wildfire,30/12/2000,30/12/2000,0.03171569
5845, , ,2000-01 Wildfire,30/12/2000,30/12/2000,3.13711846
5846, , ,2000-01 Wildfire,19/09/2000,19/09/2000,3.13713143
5847,Eden fire, ,2000-01 Wildfire,1/01/1970,1/01/1970,1.77162902
5848,Silverdale, ,2000-01 Wildfire,1/01/1970,1/01/1970,0.23854682
5849,Warragamba, ,2000-01 Wildfire,1/01/1970,1/01/1970,0.126199
5850, , ,2000-01 Wildfire,24/01/2001,24/01/2001,3.13450149
5851, , ,2000-01 Wildfire,15/01/2001,15/01/2001,3.13404204
5852, , ,2000-01 Wildfire,13/01/2001,13/01/2001,3.13433761
5853, , ,2000-01 Wildfire,4/01/2001,4/01/2001,3.1343644
5854, , ,2000-01 Wildfire,25/01/2001,25/01/2001,3.13418543
5855, , ,2000-01 Wildfire,9/01/2001,9/01/2001,3.13401115
5856, , ,2000-01 Wildfire,25/01/2001,25/01/2001,3.133963
5857, , ,2000-01 Wildfire,3/01/2001,3/01/2001,3.13419761
5858, , ,2000-01 Wildfire,26/01/2001,26/01/2001,3.13457569
7140,Smiths Mtn,00/01-55,2000-01 Wildfire,24/01/2001,31/01/2001,119.582748
7188,Smiths Mtn,00/01-55,2000-01 Wildfire,24/01/2001,31/01/2001,10.19642743
7300, , ,2000-01 Wildfire,6/09/2000,6/09/2000,213.9799153
7301, , ,2000-01 Wildfire,22/08/2000,22/08/2000,3.13299209
7302, , ,2000-01 Wildfire,24/07/2000,24/07/2000,3.13390651
7303, , ,2000-01 Wildfire,17/04/2001,17/04/2001,3.13300839
7304, , ,2000-01 Wildfire,18/04/2001,18/04/2001,3.13334367
7305, , ,2000-01 Wildfire,1/01/2001,1/01/2001,3.13333041
7306, , ,2000-01 Wildfire,14/04/2001,14/04/2001,3.13339274
7307, , ,2000-01 Wildfire,7/04/2001,7/04/2001,3.13288873
7308, , ,2000-01 Wildfire,21/05/2001,21/05/2001,3.13341473
7309, , ,2000-01 Wildfire,23/05/2001,23/05/2001,3.13421661
7310, , ,2000-01 Wildfire,1/08/2000,1/08/2000,3.13413329
7311, , ,2000-01 Wildfire,7/10/2000,7/10/2000,3.13367428
7312, , ,2000-01 Wildfire,21/05/2001,21/05/2001,3.13412451
7313, , ,2000-01 Wildfire,7/01/2001,7/01/2001,3.13424387
7314, , ,2000-01 Wildfire,22/05/2001,22/05/2001,3.13422521
7315, , ,2000-01 Wildfire,14/12/2000,14/12/2000,3.13294055
7316, , ,2000-01 Wildfire,6/09/2000,6/09/2000,3.13424988
7317, , ,2000-01 Wildfire,20/05/2001,20/05/2001,3.13267698
7318, , ,2000-01 Wildfire,17/06/2001,17/06/2001,3.13283891
7319, , ,2000-01 Wildfire,25/01/2001,25/01/2001,3.1326324
7320, , ,2000-01 Wildfire,7/01/2001,7/01/2001,3.13631822
7321, , ,2000-01 Wildfire,24/09/2000,24/09/2000,3.13593876
7322, , ,2000-01 Wildfire,6/10/2000,6/10/2000,3.13631505
7323, , ,2000-01 Wildfire,29/08/2000,29/08/2000,3.13632172
7324, , ,2000-01 Wildfire,8/10/2000,8/10/2000,3.13630299
7346, , ,2000-01 Wildfire,25/01/2001,25/01/2001,3.13499776
7347, , ,2000-01 Wildfire,2/01/2001,2/01/2001,3.13513495
7419,Angel Gap,0,2000-01 Wildfire,1/01/1970,1/01/1970,1408.123853
7754,2000 Wild Fire,0,2000-01 Wildfire,1/01/1970,1/01/1970,146.0150087
7885,2000/01 fire season,0,2000-01 Wildfire,1/01/1970,1/01/1970,1.45011567
8016,Plumb,0,2000-01 Wildfire,23/12/2001,1/01/1970,29.22214828
8073,Canobolas 2000,0,2000-01 Wildfire,20/08/2000,1/01/1970,0.29010274
8097,Sunnycorner 2000,0,2000-01 Wildfire,30/09/2000,1/01/1970,10.56524988
8099,Canobolas 2001,0,2000-01 Wildfire,11/03/2001,1/01/1970,0.7694937
8114,Sunnycorner 2001,0,2000-01 Wildfire,29/01/2001,1/01/1970,1.56764542
8123,Pennsylvania 2001,0,2000-01 Wildfire,1/01/2001,1/01/1970,54.01310942
8141,Sunnycorner 2001,0,2000-01 Wildfire,27/01/2001,1/01/1970,0.06561767
10200,Shea's, ,2000-01 Wildfire,1/01/1970,1/01/1970,38.56938121
10201,Khama Lea, ,2000-01 Wildfire,1/01/1970,1/01/1970,7.78258939
10202,Woodleigh, ,2000-01 Wildfire,1/01/1970,1/01/1970,26.67608287
10203,Nerrigundah, ,2000-01 Wildfire,1/01/1970,1/01/1970,24.04475474
10204,Murrabrine, ,2000-01 Wildfire,1/01/1970,1/01/1970,21.26633763
10205,Bingie Beach, ,2000-01 Wildfire,1/01/1970,1/01/1970,21.04502397
10206,Quandolo Island, ,2000-01 Wildfire,1/01/1970,1/01/1970,7.01482054
10207,Dolphin Beach, ,2000-01 Wildfire,1/01/1970,1/01/1970,67.07361988
10208,Coopers Ck, ,2000-01 Wildfire,1/01/1970,1/01/1970,3.22328797
10209,Belowra Valley, ,2000-01 Wildfire,1/01/1970,1/01/1970,7.87224886
10210,Murrabrine, ,2000-01 Wildfire,1/01/1970,1/01/1970,83.15606661
10211,Donoghues, ,2000-01 Wildfire,1/01/1970,1/01/1970,4.55586163
10212,Sawpity Ck, ,2000-01 Wildfire,1/01/1970,1/01/1970,0.43469198
10213,Bundarra Ck, ,2000-01 Wildfire,1/01/1970,1/01/1970,75.80628399
10214,Macquarie Pass, ,2000-01 Wildfire,29/08/2000,29/08/2000,0.70873129
10215, , ,2000-01 Wildfire,,,11.91163988
10216,Triplarina, ,2000-01 Wildfire,1/04/2001,1/04/2001,9.94807581
10217,Wents Road South, ,2000-01 Wildfire,1/01/1970,1/01/1970,6.5106657
10218,Ironbark Bay, ,2000-01 Wildfire,1/01/1970,1/01/1970,30.73554745
10219,Northern Boundary, ,2000-01 Wildfire,18/12/2000,18/12/2000,5.68066752
10220,Deodar Fires, ,2000-01 Wildfire,18/12/2000,18/12/2000,2.88383825
10221,Bollwarra Fire, ,2000-01 Wildfire,24/01/2001,24/01/2001,1.12969669
10222,Luncheon Creek, ,2000-01 Wildfire,18/12/2000,18/12/2000,1.74829008
10223,Budderoo, ,2000-01 Wildfire,19/04/2001,19/04/2001,56.95486349
10224, , ,2000-01 Wildfire,,,0.81642133
10225, , ,2000-01 Wildfire,,,19.36760824
10226,Ellerslie, ,2000-01 Wildfire,1/01/1970,1/01/1970,0.99490407
10227,Mount Horeb, ,2000-01 Wildfire,1/01/1970,1/01/1970,0.99484203
10228, , ,2000-01 Wildfire,,,8.45080966
10229, , ,2000-01 Wildfire,,,25.86453292
10230,Mill Creek, ,2000-01 Wildfire,1/01/1970,1/01/1970,1.37376528
10231,Home Flat, ,2000-01 Wildfire,1/01/1970,1/01/1970,3.12805289
10232,Blowering Depot, ,2000-01 Wildfire,1/01/1970,1/01/1970,1047.389695
16742,Box Beach,HUN00001,2000-01 Wildfire,26/08/2000,26/08/2000,32.28597494
16743,Darawank,HUN00002,2000-01 Wildfire,1/01/1970,31/08/2000,147.7909771
16744,Cape Hawke,HUN00003,2000-01 Wildfire,1/09/2000,1/09/2000,1.38301585
16745,Cape Hawke (2),HUN00004,2000-01 Wildfire,3/09/2000,3/09/2000,0.32717027
16746,Cape Hawke (2),HUN00004,2000-01 Wildfire,3/09/2000,3/09/2000,0.30944188
16747,Old Gibber,HUN00005,2000-01 Wildfire,11/09/2000,21/09/2000,3336.394178
16748,Hawks Nest,HUN00006,2000-01 Wildfire,1/01/1970,21/09/2000,220.7873349
16749,Met Station,HUN00007,2000-01 Wildfire,11/09/2000,11/09/2000,0.26531551
16750,Met Station,HUN00007,2000-01 Wildfire,11/09/2000,11/09/2000,0.30994371
16751,Met Station,HUN00007,2000-01 Wildfire,11/09/2000,11/09/2000,0.53238224
16752,Met Station,HUN00007,2000-01 Wildfire,11/09/2000,11/09/2000,0.65035562
16753,Met Station,HUN00007,2000-01 Wildfire,11/09/2000,11/09/2000,0.52682875
16754,Met Station,HUN00007,2000-01 Wildfire,11/09/2000,11/09/2000,0.51462184
16755,Met Station,HUN00007,2000-01 Wildfire,11/09/2000,11/09/2000,0.4078044
16756,Met Station,HUN00007,2000-01 Wildfire,11/09/2000,11/09/2000,0.49841072
16757,Met Station,HUN00007,2000-01 Wildfire,11/09/2000,11/09/2000,1.92365038
16758,Met Station,HUN00007,2000-01 Wildfire,11/09/2000,11/09/2000,0.222243
16759,Met Station,HUN00007,2000-01 Wildfire,11/09/2000,11/09/2000,5.51732513
16760,Met Station,HUN00007,2000-01 Wildfire,11/09/2000,11/09/2000,0.4639891
16761,Boulder Bay,HUN00008,2000-01 Wildfire,15/09/2000,15/09/2000,4.75994415
16762,Devils Elbow,HUN00009,2000-01 Wildfire,1/01/1970,25/09/2000,690.6817732
16763,Gorang,HUN00010,2000-01 Wildfire,1/01/1970,24/09/2000,825.174988
16764,The Glen,HUN00011,2000-01 Wildfire,1/10/2000,4/10/2000,432.0238269
16765,Ben Halls Creek,HUN00013,2000-01 Wildfire,1/10/2000,6/10/2000,417.1323321
16766,Little River,HUN00014,2000-01 Wildfire,1/01/1970,13/10/2000,5483.72081
16767,Sewerline Fire,HUN00015,2000-01 Wildfire,7/10/2000,8/10/2000,0.47874476
16768,Sewerline Fire,HUN00015,2000-01 Wildfire,7/10/2000,8/10/2000,4.37860793
16769,Sewerline Fire,HUN00015,2000-01 Wildfire,7/10/2000,8/10/2000,5.04550024
16770,Sewerline Fire,HUN00015,2000-01 Wildfire,7/10/2000,8/10/2000,0.50154361
16771,Sewerline Fire,HUN00015,2000-01 Wildfire,7/10/2000,8/10/2000,0.27180246
16772,Sewerline Fire,HUN00015,2000-01 Wildfire,7/10/2000,8/10/2000,2.3626504
16773,Shelly Beach,HUN00016,2000-01 Wildfire,7/10/2000,7/10/2000,283.9992246
16774,Sugar Loaf Road,HUN00017,2000-01 Wildfire,1/01/1970,10/10/2000,38.30899989
16775,Deveils Elbow,HUN00018,2000-01 Wildfire,11/10/2000,11/10/2000,13.15965398
16776,Ferney Creek,HUN00019,2000-01 Wildfire,12/10/2000,12/10/2000,1.69974981
16777,Ferney Creek,HUN00019,2000-01 Wildfire,12/10/2000,12/10/2000,3.74849213
16778,Riverside Drive,HUN00020,2000-01 Wildfire,9/11/2000,10/11/2000,1.43794295
16779,Bungwhal Fire Shed,HUN00024,2000-01 Wildfire,14/09/2000,14/12/2000,0.07100104
16780,Allen Road,HUN00025,2000-01 Wildfire,22/12/2000,28/12/2000,59.01933262
16781,Fame Point,HUN00027,2000-01 Wildfire,4/01/2001,6/01/2001,400.2211317
16782,Tindag Creek,HUN00029,2000-01 Wildfire,15/09/2000,25/01/2001,309.860956
16783,Nerong/Boundary Road,HUN00030,2000-01 Wildfire,16/01/2001,31/01/2001,91.46509903
16784,Alderley Creek,HUN00035,2000-01 Wildfire,21/01/2001,23/09/2001,396.3306213
16785,Roseleigh,HUN00036,2000-01 Wildfire,24/01/2001,26/01/2001,24.81707462
16786,Wallaby Rock,HUN00037,2000-01 Wildfire,29/01/2001,29/01/2001,1.85080861
16787,Box Beach 2,HUN00038,2000-01 Wildfire,27/02/2001,24/02/2001,24.51841444
16788,Wreck Beach Track,HUN00039,2000-01 Wildfire,27/02/2001,27/02/2001,0.20007743
16789,Hat Head NP,NCO044/KEM088,2000-01 Wildfire,21/06/2001,21/06/2001,12.95674719
16790,Mount Neville,NOC00001,2000-01 Wildfire,26/07/2000,2/08/2000,1074.334524
16791,Koukandowie,NOC00002,2000-01 Wildfire,27/07/2000,30/07/2000,183.4104647
16792,Wombat Creek,NOC00003,2000-01 Wildfire,27/07/2000,18/08/2000,1856.33049
16793,Mt Marsh,NOC00004,2000-01 Wildfire,26/07/2000,2/08/2000,63.69695838
16794,Mt Marsh,NOC00004,2000-01 Wildfire,26/07/2000,2/08/2000,97.71354701
16795,Arthur's Gap,NOC00005,2000-01 Wildfire,27/07/2000,1/08/2000,92.61655395
16796,Chambigne North,NOC00006,2000-01 Wildfire,25/07/2000,27/07/2000,51.87535449
16797,Rocky Creek,NOC00007,2000-01 Wildfire,2/07/2000,29/07/2000,81.33105417
16798,Rocky Creek,NOC00007,2000-01 Wildfire,2/07/2000,29/07/2000,421.9778025
16799,Woodford North  (SF NR00/12),NOC00008,2000-01 Wildfire,16/08/2000,21/08/2000,43.4551996
16800,Woodford North,NOC00008,2000-01 Wildfire,16/08/2000,21/08/2000,89.43466161
16801,Gurranang,NOC00009,2000-01 Wildfire,18/08/2000,21/08/2000,15.74620906
16802,Khan Road,NOC00011,2000-01 Wildfire,18/09/2000,21/09/2000,4105.326283
16803,Ramornie,NOC00012,2000-01 Wildfire,27/08/2000,13/09/2000,1891.852009
16804,Ramornie,NOC00012,2000-01 Wildfire,27/08/2000,13/09/2000,953.1842196
16805,Flaggy Creek,NOC00013,2000-01 Wildfire,30/08/2000,4/09/2000,145.6423488
16806,Red Root Rd,NOC00016,2000-01 Wildfire,30/08/2000,6/09/2000,86.24256266
16807,Red Root Rd,NOC00016,2000-01 Wildfire,30/08/2000,6/09/2000,1.64437348
16808,Red Root Rd,NOC00016,2000-01 Wildfire,30/08/2000,6/09/2000,38.63267192
16809,Red Root Rd,NOC00016,2000-01 Wildfire,30/08/2000,6/09/2000,5.32106927
16810,Red Root Rd,NOC00016,2000-01 Wildfire,30/08/2000,6/09/2000,11.79629536
16811,Red Root Rd,NOC00016,2000-01 Wildfire,30/08/2000,6/09/2000,223.1384419
16812,Tellygram Range,NOC00017,2000-01 Wildfire,6/09/2000,28/09/2000,292.7861639
16813,Kangaroo Flat,NOC00018,2000-01 Wildfire,2/09/2000,10/09/2000,136.2521773
16814,Kangaroo Flat,NOC00018,2000-01 Wildfire,2/09/2000,10/09/2000,1541.295316
16815,Upper Wooli Creek,NOC00020,2000-01 Wildfire,8/09/2000,18/09/2000,6114.342372
16816,Corindi,NOC00021,2000-01 Wildfire,11/09/2000,11/09/2000,636.47409
16817,Talgai Creek,NOC00022,2000-01 Wildfire,27/08/2000,18/09/2000,1598.399035
16818,Five Day Ck,NOC00025,2000-01 Wildfire,13/01/2001,28/09/2000,319.7379836
16819,Bongil North,NOC00026,2000-01 Wildfire,14/09/2000,17/09/2000,50.21222831
16820,Wells Crossing,NOC00027,2000-01 Wildfire,18/09/2000,18/09/2000,4.13960865
